Play to win;16-year-old Harry Moore writes about his hobby, tennis.;My parents have always loved tennis and they’re members of a tennis club. My older brother was really good at it and they supported him – taking him to lessons all the time. So I guess when I announced that I wanted to be a tennis champion when I grew up I just intended for them to notice me. My mother laughed. She knew I couldn’t possibly be serious, I was just a 4-year-old kid!\n\nLater, I joined the club’s junior coaching group and eventually took part in my first proper contest, confident that my team would do well. We won, which was fantastic, but I wasn’t so successful. I didn’t even want to be in the team photo because I didn’t feel I deserved to be. When my coach asked what happened in my final match, I didn’t know what to say. I couldn’t believe I’d lost – I knew I was the better player. But every time I attacked, the other player defended brilliantly. I couldn’t explain the result.;B;Harry thinks he said that he was going to be a tennis champion in order to;please his parents.;get some attention.;annoy his older brother.;persuade people that he was serious.
Play to win;16-year-old Harry Moore writes about his hobby, tennis.;My parents have always loved tennis and they’re members of a tennis club. My older brother was really good at it and they supported him – taking him to lessons all the time. So I guess when I announced that I wanted to be a tennis champion when I grew up I just intended for them to notice me. My mother laughed. She knew I couldn’t possibly be serious, I was just a 4-year-old kid!\n\nLater, I joined the club’s junior coaching group and eventually took part in my first proper contest, confident that my team would do well. We won, which was fantastic, but I wasn’t so successful. I didn’t even want to be in the team photo because I didn’t feel I deserved to be. When my coach asked what happened in my final match, I didn’t know what to say. I couldn’t believe I’d lost – I knew I was the better player. But every time I attacked, the other player defended brilliantly. I couldn’t explain the result.;A;How did Harry feel after his first important competition?;confused about his defeat.;proud to be a member of the winning team.;ashamed of the way he treated another player.;amazed that he had got so far in the tournament.
Play to win;16-year-old Harry Moore writes about his hobby, tennis.;After that, I decided to listen more carefully to my coach because he had lots of tips. I realised that you need the right attitude to be a winner. On court I have a plan but sometimes the other guy will do something unexpected so I’ll change it. If I lose a point, I do my best to forget it and find a way to win the next one.\n\nAt tournaments, it’s impossible to avoid players who explode in anger. Lots of players can be negative – including myself sometimes. Once I got so angry that I nearly broke my racket! But my coach has helped me develop ways to control those feelings. After all, the judges have a hard job and you just have to accept their decisions.;D;What does Harry try to remember when he’s on the court?;Don’t let the other player surprise you.;Follow your game plan.;Respect the other player.;Don’t keep thinking about your mistakes.
Play to win;16-year-old Harry Moore writes about his hobby, tennis.;After that, I decided to listen more carefully to my coach because he had lots of tips. I realised that you need the right attitude to be a winner. On court I have a plan but sometimes the other guy will do something unexpected so I’ll change it. If I lose a point, I do my best to forget it and find a way to win the next one.\n\nAt tournaments, it’s impossible to avoid players who explode in anger. Lots of players can be negative – including myself sometimes. Once I got so angry that I nearly broke my racket! But my coach has helped me develop ways to control those feelings. After all, the judges have a hard job and you just have to accept their decisions.;C;What does Harry say about his behaviour in tournaments?;He broke his racket once when he was angry.;He stays away from players who behave badly.;He tries to keep calm during the game.;He found it difficult to deal with one judge’s decisions.
Play to win;16-year-old Harry Moore writes about his hobby, tennis.;Later, I joined the club’s junior coaching group and eventually took part in my first proper contest, confident that my team would do well. We won, which was fantastic, but I wasn’t so successful. I didn’t even want to be in the team photo because I didn’t feel I deserved to be. When my coach asked what happened in my final match, I didn’t know what to say. I couldn’t believe I’d lost – I knew I was the better player. But every time I attacked, the other player defended brilliantly. I couldn’t explain the result.\n\nAfter that, I decided to listen more carefully to my coach because he had lots of tips. I realised that you need the right attitude to be a winner. On court I have a plan but sometimes the other guy will do something unexpected so I’ll change it. If I lose a point, I do my best to forget it and find a way to win the next one.\n\nAt tournaments, it’s impossible to avoid players who explode in anger. Lots of players can be negative – including myself sometimes. Once I got so angry that I nearly broke my racket! But my coach has helped me develop ways to control those feelings. After all, the judges have a hard job and you just have to accept their decisions.\n\nMy coach demands that I train in the gym to make sure I’m strong right to the end of a tournament. I’m getting good results: my shots are more accurate and I’m beginning to realise that with hard work there’s a chance that I could be a champion one day.;B;What might a sports journalist write about Harry now?;Harry needs to believe in his own abilities and stop depending on good luck when he plays.;Harry has really grown up since his first tournament and discovered that tennis is a battle of minds not just rackets.;Harry looked exhausted when he finished his last match so maybe he should think about working out.;Harry could be a great player but he needs to find a coach to take him all the way to the big competitions.
Artist Peter Fuller talks about his hobby;;There’s a popular idea that artists are not supposed to be into sport, but mountain biking is a huge part of my life. It gets me out of my studio, and into the countryside. But more importantly, racing along as fast as you can leaves you no time to worry about anything that’s going on in your life. You’re too busy concentrating on not crashing. The only things you pay attention to are the pain in your legs and the rocks on the path in front of you.\n\nI’m in my sixties now, but I started cycling when I was a kid. In the summer my friends and I would ride our bikes into the woods and see who was brave enough to go down steep hills, or do big jumps. The bikes we had then weren’t built for that, and often broke, so I used to draw pictures of bikes with big thick tyres that would be strong enough for what we were doing. They looked just like modern mountain bikes. However, it wasn’t until many years later that someone actually invented one. By the 1980s, they were everywhere.;C;Peter enjoys mountain biking because;it gives him the opportunity to enjoy the views.;he can use the time to plan his work.;he is able to stop thinking about his problems.;it helps him to concentrate better.
Artist Peter Fuller talks about his hobby;;There’s a popular idea that artists are not supposed to be into sport, but mountain biking is a huge part of my life. It gets me out of my studio, and into the countryside. But more importantly, racing along as fast as you can leaves you no time to worry about anything that’s going on in your life. You’re too busy concentrating on not crashing. The only things you pay attention to are the pain in your legs and the rocks on the path in front of you.\n\nI’m in my sixties now, but I started cycling when I was a kid. In the summer my friends and I would ride our bikes into the woods and see who was brave enough to go down steep hills, or do big jumps. The bikes we had then weren’t built for that, and often broke, so I used to draw pictures of bikes with big thick tyres that would be strong enough for what we were doing. They looked just like modern mountain bikes. However, it wasn’t until many years later that someone actually invented one. By the 1980s, they were everywhere.;C;What does Peter say about cycling during his childhood?;He is sorry he didn’t take more care of his bike.;His friends always had better quality bikes than he did.;His bike wasn’t suitable for the activities he was doing.;He was more interested in designing bikes than riding them.
Artist Peter Fuller talks about his hobby;;I’m in my sixties now, but I started cycling when I was a kid. In the summer my friends and I would ride our bikes into the woods and see who was brave enough to go down steep hills, or do big jumps. The bikes we had then weren’t built for that, and often broke, so I used to draw pictures of bikes with big thick tyres that would be strong enough for what we were doing. They looked just like modern mountain bikes. However, it wasn’t until many years later that someone actually invented one. By the 1980s, they were everywhere.\n\nAt that time I was into skateboarding. I did that for a decade until falling off on to hard surfaces started to hurt too much. Mountain biking seemed a fairly safe way to keep fit, so I took that up instead. I made a lot of friends, and got involved in racing, which gave me a reason to train hard. I wanted to find out just how fit and fast I could get, which turned out to be fairly quick. I even won a couple of local races.\n\nIn the end I stopped racing, mainly because I knew what it could mean to my career if I had a bad crash. But I still like to do a three-hour mountain bike ride every week. And if I’m out cycling in the hills and see a rider ahead, I have to beat them to the top. As I go past I imagine how surprised they would be if they knew how old I am.;D;Peter says he returned to cycling after several years;because he had become unfit.;so that he could enter races.;in order to meet new people.;to replace an activity he had given up.
Artist Peter Fuller talks about his hobby;;I’m in my sixties now, but I started cycling when I was a kid. In the summer my friends and I would ride our bikes into the woods and see who was brave enough to go down steep hills, or do big jumps. The bikes we had then weren’t built for that, and often broke, so I used to draw pictures of bikes with big thick tyres that would be strong enough for what we were doing. They looked just like modern mountain bikes. However, it wasn’t until many years later that someone actually invented one. By the 1980s, they were everywhere.\n\nAt that time I was into skateboarding. I did that for a decade until falling off on to hard surfaces started to hurt too much. Mountain biking seemed a fairly safe way to keep fit, so I took that up instead. I made a lot of friends, and got involved in racing, which gave me a reason to train hard. I wanted to find out just how fit and fast I could get, which turned out to be fairly quick. I even won a couple of local races.\n\nIn the end I stopped racing, mainly because I knew what it could mean to my career if I had a bad crash. But I still like to do a three-hour mountain bike ride every week. And if I’m out cycling in the hills and see a rider ahead, I have to beat them to the top. As I go past I imagine how surprised they would be if they knew how old I am.;A;How does Peter feel about cycling now?;He is proud that he is still so fast.;He is keen to do less now that he is older.;He regrets the fact that he can no longer compete.;He wishes more people were involved in the sport.
Artist Peter Fuller talks about his hobby;;There’s a popular idea that artists are not supposed to be into sport, but mountain biking is a huge part of my life. It gets me out of my studio, and into the countryside. But more importantly, racing along as fast as you can leaves you no time to worry about anything that’s going on in your life. You’re too busy concentrating on not crashing. The only things you pay attention to are the pain in your legs and the rocks on the path in front of you.\n\nI’m in my sixties now, but I started cycling when I was a kid. In the summer my friends and I would ride our bikes into the woods and see who was brave enough to go down steep hills, or do big jumps. The bikes we had then weren’t built for that, and often broke, so I used to draw pictures of bikes with big thick tyres that would be strong enough for what we were doing. They looked just like modern mountain bikes. However, it wasn’t until many years later that someone actually invented one. By the 1980s, they were everywhere.\n\nAt that time I was into skateboarding. I did that for a decade until falling off on to hard surfaces started to hurt too much. Mountain biking seemed a fairly safe way to keep fit, so I took that up instead. I made a lot of friends, and got involved in racing, which gave me a reason to train hard. I wanted to find out just how fit and fast I could get, which turned out to be fairly quick. I even won a couple of local races.\n\nIn the end I stopped racing, mainly because I knew what it could mean to my career if I had a bad crash. But I still like to do a three-hour mountain bike ride every week. And if I’m out cycling in the hills and see a rider ahead, I have to beat them to the top. As I go past I imagine how surprised they would be if they knew how old I am.;B;What would be a good introduction to this article?;For Peter Fuller, nothing matters more than mountain biking, not even his career. Here, in his own words, he tells us why.;Artist Peter Fuller takes mountain biking pretty seriously. Here he describes how it all began and what he gets out of it.;In this article, Peter Fuller explains how he became an artist only as a result of his interest in mountain biking.;After discovering mountain biking late in life, Peter Fuller gave up art for a while to concentrate on getting as good as possible.
