You are going to read a newspaper article about a young professional footballer. For the question below, choose from the sections (A – D).
Which paragraph states how surprised the writer was at Duncan’s early difficulties?;Which paragraph says that Duncan sometimes seems much more mature than he really is?;Which paragraph describes the frustration felt by Duncan’s father?;Which paragraph says that Duncan is on course to reach a high point in his profession?;Which paragraph suggests that Duncan caught up with his team-mates in terms of physical development?;Which paragraph explains how Duncan was a good all-round sportsperson?;Which paragraph gives an example of how Gavin reassured his son?;Which paragraph mentions Duncan’s current club’s low opinion of him at one time?;Which paragraph mentions a personal success despite a failure for the team?;Which paragraph explains how Duncan and his father are fulfilling a similar role?
A;It’s my first time driving to Chelsea’s training ground and I turn off slightly too early at the London University playing fields. Had he accepted football’s rejections in his early teenage years, it is exactly the sort of ground Duncan Williams would have found himself running around on at weekends. At his current age of 18, he would have been a bright first-year undergraduate mixing his academic studies with a bit of football, rugby and cricket, given his early talent in all these sports. However, Duncan undoubtedly took the right path. Instead of studying, he is sitting with his father Gavin in one of the interview rooms at Chelsea’s training base reflecting on Saturday’s match against Manchester City. Such has been his rise to fame that it is with some disbelief that you listen to him describing how his career was nearly all over before it began.;B;Gavin, himself a fine footballer – a member of the national team in his time – and now a professional coach, sent Duncan to three professional clubs as a 14 year-old, but all three turned him down. ‘I worked with him a lot when he was around 12, and it was clear he had fantastic technique and skill. But then the other boys shot up in height and he didn’t. But I was still upset and surprised that no team seemed to want him, that they couldn’t see what he might develop into in time. When Chelsea accepted him as a junior, it was made clear to him that this was more of a last chance than a new beginning. They told him he had a lot of hard work to do and wasn’t part of their plans. Fortunately, that summer he just grew and grew, and got much stronger as well.’;C;Duncan takes up the story: ‘The first half of that season I played in the youth team. I got lucky – the first-team manager came to watch us play QPR, and though we lost 3-1, I had a really good game. I moved up to the first team after that performance.’ Gavin points out that it can be beneficial to be smaller and weaker when you are developing – it forces you to learn how to keep the ball better, how to use ‘quick feet’ to get out of tight spaces. ‘A couple of years ago, Duncan would run past an opponent as if he wasn’t there but then the other guy would close in on him. I used to say to him, “Look, if you can do that now, imagine what you’ll be like when you’re 17, 18 and you’re big and quick and they won’t be able to get near you.” If you’re a smaller player, you have to use your brain a lot more.’;D;Not every kid gets advice from an ex-England player over dinner, nor their own private training sessions. Now Duncan is following in Gavin’s footsteps. He has joined a national scheme where people like him give advice to ambitious young teenagers who are hoping to become professionals. He is an old head on young shoulders. Yet he’s also like a young kid in his enthusiasm. And fame has clearly not gone to his head - it would be hard to meet a more likeable, humble young man. So will he get to play for the national team? ‘One day I’d love to, but when that is, is for somebody else to decide.’ The way he is playing, that won’t be long.
A;D;B;D;B;A;C;B;C;D
You are going to read part of the autobiography of a surfing instructor. For the following question, choose which section of the autobiography fits best.
In which section does the writer mention feeling satisfaction that her determination resulted in better performance?;In which section does the writer mention the problem of having to wait for conditions to be favourable for surfing?;In which section does the writer mention a change which helped her to pursue her hobby?;In which section does the writer mention continuing to surf even when the conditions were unfavourable?;In which section does the writer mention the pleasure she gets from seeing others succeed?;In which section does the writer mention being aware that it would take time for her abilities to be recognised?;In which section does the writer mention her enthusiasm for the sea being recognised by someone else?;In which section does the writer mention an admission that she doesn’t think about what she is doing when surfing?;In which section does the writer mention not being concerned that she stood out from others?;In which section does the writer mention people appreciating her serious attitude towards her surfing?
Walking on waves;My journey to the sea began when I was tiny. My mum, who used to surf then, would sit me on one of her old boards and push me into the little waves in a few centimetres of water. We both soon realised I had an unstoppable appetite for the waves, something which has never faded. Soon after that we moved to a house which was almost on the beach. I could literally walk out of the garden into the sea. Living by the sea is something you never take for granted if you surf. I open the curtains in the morning and my heart leaps as I see the long perfect lines of waves rolling into the bay.;Sarah Whiteley talks about her love of surfing and how it began.;Being the only girl in the water when I was learning to surf never bothered me because I’d always been trying to keep up with an elder brother who was exceptionally good at sports. So there I was, a tiny little thing, itching to better my surfing by checking out other surfers and looking for new moves. I was surfing four times a day in the summer holidays, before and fter school right through the winter months as the temperatures dropped and the sea was really wild. I just couldn’t get enough of it.;;Things started to get competitive as I got older and stronger. I was tackling more challenging waves: faster, more powerful and more dangerous, but I was gaining confidence and building up my experience, and it was really rewarding to see myself improving. And that’s when the boys started to notice me, and they weren’t too sure how to cope with it. They seemed to think along the lines of ‘She’s only a girl – she won’t manage that wave, so I’ll get in there and show her how to do it.’ Convincing them that I could hold my own in the waves wasn’t going to happen overnight.;;Over time and after a few hair-raising moments, I made some friends and mutual respect blossomed between me and the guys who spent all their time in the waves with me. When I started pulling off some good moves on my surfboard and throwing a bit of spray on the waves, they began giving me a bit of credit, so that if I was going out when the surf was really big, they would shout out instructions to make sure I had the best chance. They knew I wasn’t messing about and that I was going for it out there. Things got really interesting when I went in for competitions. In fact, I entered every national surfing competition over ten years. Competition surfing can be extremely frustrating, since you can never guarantee waves at a certain time on a certain day, and there’s vast amounts of hanging around.;;Now I’ve set up a surf school and I’ve got a whole new perspective. When you start teaching something, you have to learn for yourself again. Everything you’ve been doing instinctively without really noticing for the last fifteen years has now got to be passed on, and it gets surprisingly detailed and tricky in parts. But it’s been fantastic introducing so many people to the sport, and it’s even better when you get to see their big grins when they stand up for the first time and ride a wave into the shore. Surfing has taken me all over the world and now it feels like it’s brought me home again.
C;D;A;B;E;C;A;E;B;D
You are going to read an article about four teenagers who went to different summer camps. For the following question, choose which teenager fits the best.
Which teenager felt relieved they were kept so busy?;Which teenager was pleased to have achieved something hard but worthwhile? 44;Which teenager found that observing other people’s work encouraged them?;Which teenager helped to produce something that proved popular?;Which teenager got through an activity very promptly?;Which teenager says the main location for their activities particularly appealed to them?;Which teenager stresses how much opportunity they had to use new knowledge?;Which teenager was unwilling to complain about a lack of variety?;Which teenager mentions everyone being obliged to complete certain chores daily?;Which teenager appreciated coming across something interesting by chance?
Adam – Nature Camp;We helped on a nature reserve for a week. We did different things every day, but I did get a bit fed up because we had cheese sandwiches every lunchtime. I kept quiet about it though because I didn’t want to seem awkward. I was starving by twelve every day anyway, and it really was good fun, although we worked incredibly hard. One day, the schedule was changed at the last minute, and instead of our planned activity, we all helped the staff finish cutting the reeds by the lake. That was the toughest day – and also the best. They actually needed our help, we weren’t just being kept occupied. Every day, we took it in turns to cook, in teams of five. When it was our team’s turn, we made a simple dinner of pasta and salad for everyone. Judging by the fact that there was none left, we didn’t do too badly!;Sarah – Culture Camp;Every morning we had the same breakfast, and then cleaned up the camp. Nobody could opt out and it was only when it was all completely tidy that we could head off for the day. The first time we went into the city, we were split into teams and given lists of things to spot, like statues, squares and other landmarks. With some help from the local residents, it wasn’t too demanding – my team found almost all of the items on our list and came second. We also got to know our way around, so I thought it was a clever idea. I’d been worried I might miss my parents, but there was something going on nearly every minute and I hardly got time to think about them. We went to different museums and galleries in and around the city every day, and in the evenings we cooked or went out for pizzas. It was a great chance to learn about another country and its history.;Oliver – Language Camp;We stayed with families who had kids our own age, and because they were on a mid-term break they came with us on all the trips. So apart from when we were actually in a language class, we were spending time with our new friends. It was a great way to practise the language we had been working on in the classroom. We also had to do a quiz on the last day – we were put into teams and given clues to help us find places around the town. Our team finished early, so we waited for everyone else in a café in the main square. While we were there, a film crew arrived and started filming! I can’t wait to see it when it comes out – we were sitting outside, so we might even be in it!;Malika – Theatre Camp;We stayed in a youth centre in the suburbs, and went into the centre of town by bus every day. It was a good way to see a bit of the city, and it didn’t take long to get to the theatre where we had our classes. I loved the atmosphere in the old building, and we could wander around during our breaks and watch rehearsals. The actors we saw were brilliant, and it was inspiring to watch them before we went back into our own classes. The emphasis was definitely on having fun, but we still learned a great deal and I’m looking forward to putting it all into practice at my school drama club next term! The food at the centre could have been better, but I don’t think anyone minded much.
B;A;D;A;C;D;C;A;B;C
