Introduction to a book about the history of colour;;This book examines how the ever-changing role of colour in society has been reflected in manuscripts, stained glass, clothing, painting and popular culture. Colour is a natural phenomenon, of course, but it is also a complex cultural construct that resists generalization and, indeed, analysis itself. No doubt this is why serious works devoted to colour are rare, and rarer still are those that aim to study it in historical context. Many authors search for the universal or archetypal truths they imagine reside in colour, but for the historian, such truths do not exist. Colour is first and foremost a social phenomenon. There is no transcultural truth to colour perception, despite what many books based on poorly grasped neurobiology or – even worse – on pseudoesoteric pop psychology would have us believe. Such books unfortunately clutter the bibliography on the subject, and even do it harm.;C;What problem regarding colour does the writer explain in the first paragraph?;Our view of colour is strongly affected by changing fashion.;Analysis is complicated by the bewildering number of natural colours.;Colours can have different associations in different parts of the world.;Certain popular books have dismissed colour as insignificant.
Introduction to a book about the history of colour;;This book examines how the ever-changing role of colour in society has been reflected in manuscripts, stained glass, clothing, painting and popular culture. Colour is a natural phenomenon, of course, but it is also a complex cultural construct that resists generalization and, indeed, analysis itself. No doubt this is why serious works devoted to colour are rare, and rarer still are those that aim to study it in historical context. Many authors search for the universal or archetypal truths they imagine reside in colour, but for the historian, such truths do not exist. Colour is first and foremost a social phenomenon. There is no transcultural truth to colour perception, despite what many books based on poorly grasped neurobiology or – even worse – on pseudoesoteric pop psychology would have us believe. Such books unfortunately clutter the bibliography on the subject, and even do it harm.\n\nThe silence of historians on the subject of colour, or more particularly their difficulty in conceiving colour as a subject separate from other historical phenomena, is the result of three different sets of problems. The first concerns documentation and preservation. We see the colours transmitted to us by the past as time has altered them and not as they were originally. Moreover, we see them under light conditions that often are entirely different from those known by past societies. And finally, over the decades we have developed the habit of looking at objects from the past in black-and-white photographs and, despite the current diffusion of colour photography, our ways of thinking about and reacting to these objects seem to have remained more or less black and white.\n\nThe second set of problems concerns methodology. As soon as the historian seeks to study colour, he must grapple with a host of factors all at once: physics, chemistry, materials, and techniques of production, as well as iconography, ideology, and the symbolic meanings that colours convey. How to make sense of all of these elements? How can one establish an analytical model facilitating the study of images and coloured objects? No researcher, no method, has yet been able to resolve these problems, because among the numerous facts pertaining to colour, a researcher tends to select those facts that support his study and to conveniently forget those that contradict it. This is clearly a poor way to conduct research. And it is made worse by the temptation to apply to the objects and images of a given historical period information found in texts of that period. The proper method – at least in the first phase of analysis – is to proceed as do palaeontologists (who must study cave paintings without the aid of texts): by extrapolating from the images and the objects themselves a logic and a system based on various concrete factors such as the rate of occurrence of particular objects and motifs, their distribution and disposition. In short, one undertakes the internal structural analysis with which any study of an image or coloured object should begin.;A;What is the first reason the writer gives for the lack of academic work on the history of colour?;There are problems of reliability associated with the artefacts available.;Historians have seen colour as being outside their field of expertise.;Colour has been rather looked down upon as a fit subject for academic study.;Very little documentation exists for historians to use.
Introduction to a book about the history of colour;;This book examines how the ever-changing role of colour in society has been reflected in manuscripts, stained glass, clothing, painting and popular culture. Colour is a natural phenomenon, of course, but it is also a complex cultural construct that resists generalization and, indeed, analysis itself. No doubt this is why serious works devoted to colour are rare, and rarer still are those that aim to study it in historical context. Many authors search for the universal or archetypal truths they imagine reside in colour, but for the historian, such truths do not exist. Colour is first and foremost a social phenomenon. There is no transcultural truth to colour perception, despite what many books based on poorly grasped neurobiology or – even worse – on pseudoesoteric pop psychology would have us believe. Such books unfortunately clutter the bibliography on the subject, and even do it harm.\n\nThe silence of historians on the subject of colour, or more particularly their difficulty in conceiving colour as a subject separate from other historical phenomena, is the result of three different sets of problems. The first concerns documentation and preservation. We see the colours transmitted to us by the past as time has altered them and not as they were originally. Moreover, we see them under light conditions that often are entirely different from those known by past societies. And finally, over the decades we have developed the habit of looking at objects from the past in black-and-white photographs and, despite the current diffusion of colour photography, our ways of thinking about and reacting to these objects seem to have remained more or less black and white.\n\nThe second set of problems concerns methodology. As soon as the historian seeks to study colour, he must grapple with a host of factors all at once: physics, chemistry, materials, and techniques of production, as well as iconography, ideology, and the symbolic meanings that colours convey. How to make sense of all of these elements? How can one establish an analytical model facilitating the study of images and coloured objects? No researcher, no method, has yet been able to resolve these problems, because among the numerous facts pertaining to colour, a researcher tends to select those facts that support his study and to conveniently forget those that contradict it. This is clearly a poor way to conduct research. And it is made worse by the temptation to apply to the objects and images of a given historical period information found in texts of that period. The proper method – at least in the first phase of analysis – is to proceed as do palaeontologists (who must study cave paintings without the aid of texts): by extrapolating from the images and the objects themselves a logic and a system based on various concrete factors such as the rate of occurrence of particular objects and motifs, their distribution and disposition. In short, one undertakes the internal structural analysis with which any study of an image or coloured object should begin.;C;The writer suggests that the priority when conducting historical research on colour is to;ignore the interpretations of other modern day historians.;focus one’s interest as far back as the prehistoric era.;find some way of organising the mass of available data.;relate pictures to information from other sources.
Introduction to a book about the history of colour;;The third set of problems is philosophical: it is wrong to project our own conceptions and definitions of colour onto the images, objects and monuments of past centuries. Our judgements and values are not those of previous societies (and no doubt they will change again in the future). For the writer-historian looking at the definitions and taxonomy of colour, the danger of anachronism is very real. For example, the spectrum with its natural order of colours was unknown before the seventeenth century, while the notion of primary and secondary colours did not become common until the nineteenth century. These are not eternal notions but stages in the ever-changing history of knowledge.;D;In this paragraph, the writer says that the historian writing about colour should be careful;not to analyse in an old-fashioned way.;when making basic distinctions between key ideas.;not to make unwise predictions.;when using certain terms and concepts.
Introduction to a book about the history of colour;;I have reflected on such issues at greater length in my previous work, so while the present book does address certain of them, for the most part it is devoted to other topics. Nor is it concerned only with the history of colour in images and artworks – in any case that area still has many gaps to be filled. Rather, the aim of this book is to examine all kinds of objects in order to consider the different facets of the history of colour and to show how far beyond the artistic sphere this history reaches. The history of painting is one thing; that of colour is another, much larger, question. Most studies devoted to the history of colour err in considering only the pictorial, artistic or scientific realms. But the lessons to be learned from colour and its real interest lie elsewhere.;D;In this paragraph, the writer says there needs to be further research done on;the history of colour in relation to objects in the world around us.;the concerns he has raised in an earlier publication.;the many ways in which artists have used colour over the years.;the relationship between artistic works and the history of colour.
Introduction to a book about the history of colour;;This book examines how the ever-changing role of colour in society has been reflected in manuscripts, stained glass, clothing, painting and popular culture. Colour is a natural phenomenon, of course, but it is also a complex cultural construct that resists generalization and, indeed, analysis itself. No doubt this is why serious works devoted to colour are rare, and rarer still are those that aim to study it in historical context. Many authors search for the universal or archetypal truths they imagine reside in colour, but for the historian, such truths do not exist. Colour is first and foremost a social phenomenon. There is no transcultural truth to colour perception, despite what many books based on poorly grasped neurobiology or – even worse – on pseudoesoteric pop psychology would have us believe. Such books unfortunately clutter the bibliography on the subject, and even do it harm.\n\nThe silence of historians on the subject of colour, or more particularly their difficulty in conceiving colour as a subject separate from other historical phenomena, is the result of three different sets of problems. The first concerns documentation and preservation. We see the colours transmitted to us by the past as time has altered them and not as they were originally. Moreover, we see them under light conditions that often are entirely different from those known by past societies. And finally, over the decades we have developed the habit of looking at objects from the past in black-and-white photographs and, despite the current diffusion of colour photography, our ways of thinking about and reacting to these objects seem to have remained more or less black and white.\n\nThe second set of problems concerns methodology. As soon as the historian seeks to study colour, he must grapple with a host of factors all at once: physics, chemistry, materials, and techniques of production, as well as iconography, ideology, and the symbolic meanings that colours convey. How to make sense of all of these elements? How can one establish an analytical model facilitating the study of images and coloured objects? No researcher, no method, has yet been able to resolve these problems, because among the numerous facts pertaining to colour, a researcher tends to select those facts that support his study and to conveniently forget those that contradict it. This is clearly a poor way to conduct research. And it is made worse by the temptation to apply to the objects and images of a given historical period information found in texts of that period. The proper method – at least in the first phase of analysis – is to proceed as do palaeontologists (who must study cave paintings without the aid of texts): by extrapolating from the images and the objects themselves a logic and a system based on various concrete factors such as the rate of occurrence of particular objects and motifs, their distribution and disposition. In short, one undertakes the internal structural analysis with which any study of an image or coloured object should begin.\n\nThe third set of problems is philosophical: it is wrong to project our own conceptions and definitions of colour onto the images, objects and monuments of past centuries. Our judgements and values are not those of previous societies (and no doubt they will change again in the future). For the writer-historian looking at the definitions and taxonomy of colour, the danger of anachronism is very real. For example, the spectrum with its natural order of colours was unknown before the seventeenth century, while the notion of primary and secondary colours did not become common until the nineteenth century. These are not eternal notions but stages in the ever-changing history of knowledge.\n\nI have reflected on such issues at greater length in my previous work, so while the present book does address certain of them, for the most part it is devoted to other topics. Nor is it concerned only with the history of colour in images and artworks – in any case that area still has many gaps to be filled. Rather, the aim of this book is to examine all kinds of objects in order to consider the different facets of the history of colour and to show how far beyond the artistic sphere this history reaches. The history of painting is one thing, but that of colour is another, much larger, question. Most studies devoted to the history of colour err in considering only the pictorial, artistic or scientific realms. But the lessons to be learned from colour and its real interest lie elsewhere.;C;An idea recurring in the text is that people who have studied colour have;failed to keep up with scientific developments.;not understood its global significance.;found it difficult to be fully objective.;been muddled about their basic aims.
The internet today;James Baxter reviews two books about the internet: Rewire by Ethan Zuckerman, and Untangling the Web by Aleks Krotoski.;Open a street map of any city and you see a diagram of all the possible routes one could take in traversing or exploring it. Superimpose on the street map the actual traffic flows that are observed and you see quite a different city: one of flows. The flows show how people actually travel in the city, as distinct from how they could. This helps in thinking about the internet and digital technology generally. In itself, the technology has vast possibilities, as several recent books emphasise, but what we actually wind up doing with it is, at any point in time, largely unknown.\n\nEthan Zuckerman is excited by the possibilities the web provides for linking far-flung populations, for sampling different ways of life, for making us all digital cosmopolitans. His central thesis, however, is that while the internet does, in principle, enable everyone to become genuinely cosmopolitan, in practice it does nothing of the kind. As the philosopher Anthony Appiah puts it, true cosmopolitanism ‘challenges us to embrace what is rich, productive and creative’ about differences - in other words, to go beyond merely being tolerant of those who are different. Much of the early part of Rewire is taken up with demonstrating the extent to which the internet, and our use of it, fails that test.;C;The reviewer starts with the metaphor of a city map in order to illustrate;the difficulty in understanding the complexity of the internet.;the degree to which the internet changes as time passes.;the difference between potential and real internet use.;the importance of the internet in people’s lives today.
The internet today;James Baxter reviews two books about the internet: Rewire by Ethan Zuckerman, and Untangling the Web by Aleks Krotoski.;Open a street map of any city and you see a diagram of all the possible routes one could take in traversing or exploring it. Superimpose on the street map the actual traffic flows that are observed and you see quite a different city: one of flows. The flows show how people actually travel in the city, as distinct from how they could. This helps in thinking about the internet and digital technology generally. In itself, the technology has vast possibilities, as several recent books emphasise, but what we actually wind up doing with it is, at any point in time, largely unknown.\n\nEthan Zuckerman is excited by the possibilities the web provides for linking far-flung populations, for sampling different ways of life, for making us all digital cosmopolitans. His central thesis, however, is that while the internet does, in principle, enable everyone to become genuinely cosmopolitan, in practice it does nothing of the kind. As the philosopher Anthony Appiah puts it, true cosmopolitanism ‘challenges us to embrace what is rich, productive and creative’ about differences - in other words, to go beyond merely being tolerant of those who are different. Much of the early part of Rewire is taken up with demonstrating the extent to which the internet, and our use of it, fails <b>that test<b>.\n\n‘We shape our tools,’ said the philosopher Marshall McLuhan, ‘and afterwards they shape us.’ This adage is corroborated every time most of us go online. We’ve built information tools (like search and social networking systems) that embody our biases towards things that affect those who are closest to us. They give us the information we think we want, but not necessarily the information we might need.;B;What do the words ‘that test’ (highlighted) refer to?;providing more widespread access to information;connecting in a substantial way with other cultures;establishing principles for developing the internet;accepting that not everyone in the world is the same
The internet today;James Baxter reviews two books about the internet: Rewire by Ethan Zuckerman, and Untangling the Web by Aleks Krotoski.;Ethan Zuckerman is excited by the possibilities the web provides for linking far-flung populations, for sampling different ways of life, for making us all digital cosmopolitans. His central thesis, however, is that while the internet does, in principle, enable everyone to become genuinely cosmopolitan, in practice it does nothing of the kind. As the philosopher Anthony Appiah puts it, true cosmopolitanism ‘challenges us to embrace what is rich, productive and creative’ about differences - in other words, to go beyond merely being tolerant of those who are different. Much of the early part of Rewire is taken up with demonstrating the extent to which the internet, and our use of it, fails that test.\n\n‘We shape our tools,’ said the philosopher Marshall McLuhan, ‘and afterwards they shape us.’ This adage is corroborated every time most of us go online. We’ve built information tools (like search and social networking systems) that embody our biases towards things that affect those who are closest to us. They give us the information we think we want, but not necessarily the information we might need.\n\nDespite all the connectivity, we are probably as ignorant about other societies as we were when television and newspapers were our main information sources. In fact, Zuckerman argues, in some ways we were better then, because serious mainstream media outlets saw it as their professional duty to ‘curate’ the flow of news - there were editorial gatekeepers who determined a ‘news agenda’ of what was and wasn’t important. But, as the internet went mainstream, we switched from curation to search, and the traditional gatekeepers became less powerful. In some respects, this was good because it weakened large multimedia conglomerates, but it had the unanticipated consequence of increasing the power of digital search tools – and, indirectly, the power of the corporations providing them.;D;What point is made about the internet in the second paragraph?;People often struggle to find what they are looking for on it.;It influences how people relate to family and friends.;All users have some responsibility for its evolution.;The way in which it works is far from neutral.
The internet today;James Baxter reviews two books about the internet: Rewire by Ethan Zuckerman, and Untangling the Web by Aleks Krotoski.;‘We shape our tools,’ said the philosopher Marshall McLuhan, ‘and afterwards they shape us.’ This adage is corroborated every time most of us go online. We’ve built information tools (like search and social networking systems) that embody our biases towards things that affect those who are closest to us. They give us the information we think we want, but not necessarily the information we might need.\n\nDespite all the connectivity, we are probably as ignorant about other societies as we were when television and newspapers were our main information sources. In fact, Zuckerman argues, in some ways we were better then, because serious mainstream media outlets saw it as their professional duty to ‘curate’ the flow of news - there were editorial gatekeepers who determined a ‘news agenda’ of what was and wasn’t important. But, as the internet went mainstream, we switched from curation to search, and the traditional gatekeepers became less powerful. In some respects, this was good because it weakened large multimedia conglomerates, but it had the unanticipated consequence of increasing the power of digital search tools – and, indirectly, the power of the corporations providing them.\n\nZuckerman – a true cosmopolitan who co-founded a web service dedicated to realising the net’s capacity to enable anyone’s voice to be heard – provides an instructive contrast to excessively optimistic narratives about the transformative power of networked technology, and a powerful diagnosis of what’s wrong. Where he runs out of steam somewhat is in contemplating possible solutions, of which he identifies three: ‘transparent translation’ – simply automated, accurate translation between all languages - ‘bridge figures’ – bloggers who explain ideas from one culture to another - and ‘engineered serendipity’ – basically, technology for enabling us to escape from filters that limit search and networking systems. Eventually, the technology will deliver transparent translation - cloning Ethan Zuckerman would provide a supply of bridge figures, but, for now, we will have to make do with pale imitations. Engineering serendipity, however, is a tougher proposition.;A;What does the reviewer suggest about Zuckerman in the third paragraph?;His recommendations are less impressive than his analysis.;He uses terms that are harder to understand than need be.;He has the same failings that he identifies in other people.;His account of important developments is too negative.
